============================= test session starts =============================
platform win32 -- Python 3.11.16, pytest-8.3.3, pluggy-1.6.0 -- A:\Code\GUI-based-LSB-Replacement-steganography-program\.venv-t08\Scripts\python.exe
cachedir: .pytest_cache
hypothesis profile 'image-stego' -> deadline=None, suppress_health_check=[HealthCheck.too_slow], database=DirectoryBasedExampleDatabase(WindowsPath('A:/Code/GUI-based-LSB-Replacement-steganography-program/.hypothesis/examples'))
PySide6 6.8.0 -- Qt runtime 6.8.0 -- Qt compiled 6.8.0
rootdir: A:\Code\GUI-based-LSB-Replacement-steganography-program
configfile: pytest.ini
plugins: hypothesis-6.115.5, cov-7.1.0, qt-4.4.0
collecting ... collected 928 items

tests/test_gui_consolidation.py::test_picker_and_drop_use_identical_validation[valid] PASSED [  0%]
tests/test_gui_consolidation.py::test_picker_and_drop_use_identical_validation[missing] PASSED [  0%]
tests/test_gui_consolidation.py::test_picker_and_drop_use_identical_validation[directory] PASSED [  0%]
tests/test_gui_consolidation.py::test_picker_and_drop_use_identical_validation[unsupported] PASSED [  0%]
tests/test_gui_consolidation.py::test_ambiguous_or_remote_drop_preserves_previous_selection[remote] PASSED [  0%]
tests/test_gui_consolidation.py::test_ambiguous_or_remote_drop_preserves_previous_selection[mixed] PASSED [  0%]
tests/test_gui_consolidation.py::test_ambiguous_or_remote_drop_preserves_previous_selection[multiple] PASSED [  0%]
tests/test_gui_consolidation.py::test_failed_verdict_never_displays_or_saves_attached_plaintext[TAMPERED] PASSED [  0%]
tests/test_gui_consolidation.py::test_failed_verdict_never_displays_or_saves_attached_plaintext[SIGNATURE_INVALID] PASSED [  0%]
tests/test_gui_consolidation.py::test_failed_verdict_never_displays_or_saves_attached_plaintext[PAYLOAD_MISSING] PASSED [  1%]
tests/test_gui_consolidation.py::test_failed_verdict_never_displays_or_saves_attached_plaintext[WRONG_START_LOCATION] PASSED [  1%]
tests/test_gui_consolidation.py::test_failed_verdict_never_displays_or_saves_attached_plaintext[CANNOT_VERIFY] PASSED [  1%]
tests/test_gui_consolidation.py::test_capacity_accounts_for_manual_offset PASSED [  1%]
tests/test_gui_consolidation.py::test_capacity_worker_ignores_superseded_result PASSED [  1%]
tests/test_gui_consolidation.py::test_clear_forgets_tab_input[ProtectTab-_cover_path] PASSED [  1%]
tests/test_gui_consolidation.py::test_clear_forgets_tab_input[VerifyTab-_stego_path] PASSED [  1%]
tests/test_gui_consolidation.py::test_clear_forgets_tab_input[AttackTab-_stego_path] PASSED [  1%]
tests/test_gui_consolidation.py::test_clear_forgets_tab_input[SteganalysisTab-_path] PASSED [  1%]
tests/test_gui_consolidation.py::test_verification_result_for_old_input_is_discarded PASSED [  2%]
tests/test_gui_consolidation.py::test_sender_receiver_fingerprints_match PASSED [  2%]
tests/test_gui_consolidation.py::test_cut_controls_are_absent PASSED     [  2%]
tests/test_gui_lab_tabs.py::TestContextFromManifest::test_it_recovers_everything_the_attacks_need PASSED [  2%]
tests/test_gui_lab_tabs.py::TestContextFromManifest::test_a_derived_location_needs_the_secret PASSED [  2%]
tests/test_gui_lab_tabs.py::TestContextFromManifest::test_a_manual_location_needs_no_secret PASSED [  2%]
tests/test_gui_lab_tabs.py::TestContextFromManifest::test_a_malformed_manifest_is_reported PASSED [  2%]
tests/test_gui_lab_tabs.py::TestAttackTabConstruction::test_it_constructs PASSED [  2%]
tests/test_gui_lab_tabs.py::TestAttackTabConstruction::test_the_list_is_empty_until_a_file_is_loaded PASSED [  2%]
tests/test_gui_lab_tabs.py::TestAttackTabConstruction::test_loading_an_image_lists_the_image_attacks PASSED [  3%]
tests/test_gui_lab_tabs.py::TestAttackTabConstruction::test_loading_audio_lists_the_audio_attacks PASSED [  3%]
